smiles,freesolv,description,chembl_id
CCOP(=S)(OCC)SCSP(=S)(OCC)OCC,-6.1,"This molecule is an organophosphate pesticide. Pure ethion is a clear to yellowish liquid with an unpleasant sulfur-like smell. It does not occur naturally in the environment. This molecule is used in agriculture, mainly to control insects on citrus trees, but also on cotton, fruit and nut trees, and some vegetables. It may also be used on lawns and turf grasses, but it is not used in the home for pest control. This molecule is a colorless or amber colored liquid with a disagreeable odor. It is a wettable emulsifiable liquid. It is toxic by inhalation, skin absorption, and/or ingestion. It burns, but is not easily ignited. Fire may produce toxic and irritating fumes. It is used as a pesticide. May be found in the form of a dry mixture where the liquid is absorbed onto a dry carrier. This molecule is an organic thiophosphate that is S,S'-methanediyl bis[dihydrogen (phosphorodithioate)] in which all the hydroxy groups have been converted to their corresponding ethyl esters respectively. This molecule is an organophosphate insecticide with inhibitory activity towards the enzyme acetylcholinesterase ( EC 3.1.1.7). It has a role as an EC 3.1.1.7 (acetylcholinesterase) inhibitor, an acaricide, an agrochemical, an insecticide and an environmental contaminant. This molecule is a synthetic organophosphate pesticide that is an acetylcholinesterase inhibitor. It is characterized as a clear to yellow or amber liquid with a sulfur-like smell, and exposure occurs by inhalation, ingestion, or contact. This molecule is an organophosphate pesticide. It does not occur naturally in the environment. This molecule is used in agriculture, mainly to control insects on citrus trees, but also on cotton, fruit and nut trees, and some vegetables. It may also be used on lawns and turf grasses, but it is not used in the home for pest control. This molecule affects the nervous systems by inhibiting acetylcholineserases. (L1191)",CHEMBL1713417
C1CCCC(CC1)O,-5.48,,
COC(=O)C1CC1,-4.1,,
c1ccc(cc1)C#N,-4.1,,
CCCCC#N,-3.52,"This molecule is a clear colorless to yellow liquid. (NTP, 1992) This molecule is a nitrile.",CHEMBL1503158
CC(C)(C)O,-4.47,"This molecule is a colorless oily liquid with a sharp alcohol odor. Floats and mixes with water. Produces irritating vapor. Freezing point is 78 °F. (USCG, 1999) This molecule is a tertiary alcohol alcohol that is isobutane substituted by a hydroxy group at position 2. It has a role as a human xenobiotic metabolite. It derives from a hydride of an isobutane. This molecule is a natural product found in Psidium guajava with data available.",CHEMBL16502
CC(C)C(=O)C(C)C,-2.74,This molecule is a pentanone that is pentan-3-one substituted by methyl groups at positions 2 and 4 respectively. It has a role as a metabolite. It is functionally related to a pentan-3-one.,CHEMBL3560924
CCC=O,-3.43,"This molecule appears as a clear colorless liquid with an overpowering fruity-like odor. Less dense than water. Flash point 15 °F. Vapors are heavier than air. This molecule is an aldehyde that consists of ethane bearing a formyl substituent. The parent of the class of propanals. It has a role as an Escherichia coli metabolite. It is an alpha-CH2-containing aldehyde and a member of propanals. This molecule is used in the manufacture of plastics, in the synthesis of rubber chemicals, and as a disinfectant and preservative. Limited information is available on the health effects of propionaldehyde. No information is available on the acute (short-term), chronic (long-term), reproductive, developmental or carcinogenic effects of propionaldehyde in humans. Animal studies have reported that exposure to high levels of propionaldehyde, via inhalation, results in anesthesia and liver damage, and intraperitoneal exposure results in increased blood pressure. EPA has not classified propionaldehyde for carcinogenicity. This molecule is a metabolite found in or produced by Escherichia coli (strain K12, MG1655). This molecule is a metabolite found in or produced by Saccharomyces cerevisiae. This molecule is a natural product found in Avena sativa, Allium ampeloprasum, and other organisms with data available.",CHEMBL275626
CN(C)C=O,-7.81,"This molecule appears as a water-white liquid with a faint fishy odor. Flash point 136 °F. Slightly less dense than water. Vapors heavier than air. Toxic by inhalation or skin absorption. May irritate eyes. These molecules is a member of the class of formamides that is formamide in which the amino hydrogens are replaced by methyl groups. It has a role as a polar aprotic solvent, a hepatotoxic agent and a geroprotector. It is a volatile organic compound and a member of formamides. It is functionally related to a formamide. This molecule is used as an industrial solvent and in the production of fibers, films, and surface coatings. Acute (short-term) exposure to dimethylformamide has been observed to damage the liver in animals and in humans. Symptoms of acute exposure in humans include abdominal pain, nausea, vomiting, jaundice, alcohol intolerance, and rashes. Chronic (long-term) occupational exposure to dimethylformamide by inhalation has resulted in effects on the liver and digestive disturbances in workers. Human studies suggested a possible association between dimethylformamide exposure and testicular cancer, but further studies failed to confirm this relationship. EPA has not classified dimethylformamide with respect to its carcinogenicity. This molecule is a metabolite found in or produced by Saccharomyces cerevisiae. This molecule is a natural product found in Nicotiana tabacum and Cystoseira barbata with data available. This molecule is a clear liquid that has been widely used in industries as a solvent, an additive, or an intermediate because of its extensive miscibility with water and most common organic solvents. Its health effects include hepatotoxicity and male reproductoxicity, possibly linked with mitochondrial DNA (mtDNA) alterations including mtDNA common deletion (delta-mtDNA4977) and mtDNA copy number; during the biotransformation of DMF in the body, free radicals are formed, including hydroxyl radicals. The world-wide consumption of DMF in 2001 was approximately 285,000 metric tonnes and most of that was used as an industrial solvent. Overexposure to DMF could result in hepatotoxicity, alcohol intolerance, possible embryotoxicity and teratogenicity in humans and animals, and decline of human sperm motility. Based on its wide application and a wide range of toxic effects, DMF has been selected as one of the four priority compounds for human field studies by the National Toxicology Program (NTP) of the US National Institute of Environmental Health Sciences (NIEHS). The current permissible exposure limit for DMF in the working environment is 10 ppm in both USA and Taiwan. The concentrations of two major DMF metabolites in urine, N-methylformamide (U-NMF) of 15 mg/L and N-acetyl-S-(N-methylcarbamoyl) cysteine (U-AMCC) of 40 mg/L, were recommended as the biological exposure indices (BEIs) by the American Conference of Governmental Industrial Hygienists for DMF exposure in workplace. (A7735).",CHEMBL268291
Cc1ccc(cc1)C,-0.8,,
C=CCC=C,0.93,,
Cc1cccc(c1C)Nc2ccccc2C(=O)O,-6.78,,
CN(C)C(=O)c1ccccc1,-9.29,,CHEMBL453210
CCNCC,-4.07,"This molecule appears as a clear colorless liquid with an ammonia-like odor. Density 5.9 lb / gal. Flash point -15 °F. A respiratory irritant. Corrosive to the eyes and skin. Vapors heavier than air. Toxic oxides of nitrogen produced during combustion. These molecules is a secondary aliphatic amine where both N-substituents are ethyl. It is a conjugate base of a diethylammonium. This molecule is a natural product found in Cannabis sativa and Vitis vinifera with data available. This molecule is a secondary amine with the molecular structure CH3CH2NHCH2CH3. It is a flammable, strongly alkaline liquid. It is miscible with water and ethanol. It is a colorless liquid which often appears brown due to impurities. It is volatile and has a strong unpleasant odor.",CHEMBL1189
CC(C)(C)c1ccc(cc1)O,-5.91,,
CC(C)CCOC=O,-2.13,,
CCCCCCCCCCO,-3.64,"This molecule appears as a clear colorless liquid with a sweet fat-like odor. Flash point 180 °F. Less dense than water and insoluble in water. Vapors are heavier than air. This molecule is a fatty alcohol consisting of a hydroxy function at C-1 of an unbranched saturated chain of ten carbon atoms. It has a role as a metabolite, a protic solvent and a pheromone. It is a primary alcohol and a decanol. This molecule is a metabolite found in or produced by Saccharomyces cerevisiae. This molecule is a natural product found in Alpinia latilabris, Alpinia hainanensis, and other organisms with data available.",CHEMBL25363
CCC(=O)OCC,-2.68,,
CCCCCCCCC,3.13,"This molecule appears as a clear colorless liquid with a sharp odor. Flash point 86 °F. Insoluble in water and less dense than water. Contact may irritate eyes and possibly injury the cornea. May irritate skin. Vapor inhalation may cause irritation. Prolonged inhalation may lead to breathing difficulty. Ingestion causes abdominal discomfort, nausea and diarrhea. This molecule is a straight chain alkane composed of 9 carbon atoms. It has a role as a volatile oil component and a plant metabolite. This molecule is a natural product found in Hypericum foliosum, Aristolochia triangularis, and other organisms with data available.",CHEMBL335900
CC(=O)NC,-10.0,,
CCCCCCCC=C,2.06,,
c1ccc2cc(ccc2c1)O,-8.11,,
c1cc(c(cc1Cl)Cl)Cl,-1.12,,
C([C@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)O,-23.62,,
CCCC(=O)OC,-2.83,"This molecule appears as a clear colorless liquid. Flash point 57 °F. Less dense than water and slightly soluble in water. Hence floats on water. Vapors heavier than air. This molecule is a fatty acid ester. This molecule is a metabolite found in or produced by Saccharomyces cerevisiae. This molecule is a natural product found in Peristeria elata, Picea abies, and other organisms with data available.",CHEMBL15859
c1ccc(c(c1)C=O)O,-4.68,,
C1CNC1,-5.56,"This molecule is a saturated organic heteromonocyclic parent, a member of azetidines and an azacycloalkane.",CHEMBL2171713
CCCNCCC,-3.65,This molecule appears as a clear colorless liquid with an ammonia-like odor. Less dense than water. Vapors heavier than air. Toxic oxides of nitrogen produced during combustion.,CHEMBL3185961
c1ccc(cc1)N,-5.49,,
C(F)(F)(F)F,3.12,,
CC[C@@H](C)CO,-4.42,,
c1ccc(c(c1)O)I,-6.2,,
COc1cccc(c1O)OC,-6.96,,
CCC#C,-0.16,,
c1ccc(cc1)C(F)(F)F,-0.25,,
NN,-9.3,"These molecules are clear, colorless liquids with an ammonia-like odor. There are many kinds of hydrazine compounds, including hydrazine, 1,1-dimethylhydrazine, and 1,2-dimethylhydrazine. Small amounts of hydrazine occur naturally in plants. Most hydrazines are manufactured for use as rocket propellants and fuels, boiler water treatments, chemical reactants, medicines, and in cancer research. These molecules are highly reactive and easily catch fire. This molecule appears as a colorless, fuming oily liquid with an ammonia-like odor. Flash point 99 °F. Explodes during distillation if traces of air are present. Toxic by inhalation and by skin absorption. Corrosive to tissue. Produces toxic oxides of nitrogen during combustion. Used as a rocket propellant and in fuel cells. This molecule appears as a colorless aqueous solution. May have an ammonia-like odor. Corrosive. Irritates skin and eyes; irritation to the eyes is delayed. Toxic by ingestion and skin absorption. This molecule appears as a colorless aqueous solution containing a maximum of 37% hydrazine by mass. Has an ammonia-like odor. Corrosive. Contact may irritate skin and eyes. Toxic by ingestion and skin absorption. This molecule is an azane and a member of hydrazines. It has a role as an EC 4.3.1.10 (serine-sulfate ammonia-lyase) inhibitor. It is a conjugate base of a hydrazinium(1+). It is a conjugate acid of a hydrazinide. Individuals may be exposed to hydrazine in the workplace or to small amounts in tobacco smoke. Symptoms of acute (short-term) exposure to high levels of hydrazine may include irritation of the eyes, nose, and throat, dizziness, headache, nausea, pulmonary edema, seizures, and coma in humans. Acute exposure can also damage the liver, kidneys, and central nervous system in humans. The liquid is corrosive and may produce dermatitis from skin contact in humans and animals. Effects to the lungs, liver, spleen, and thyroid have been reported in animals chronically (long-term) exposed to hydrazine via inhalation. Increased incidences of lung, nasal cavity, and liver tumors have been observed in rodents exposed to hydrazine. EPA has classified hydrazine as a Group B2, probable human carcinogen. This molecule is a highly reactive base and reducing agent used in many industrial and medical applications.  In biological applications, hydrazine and its derivatives exhibit antidepressant properties by inhibiting monoamine oxidase (MAO), an enzyme that catalyzes the deamination and inactivation of certain stimulatory neurotransmitters such as norepinephrine and dopamine.  In psychiatry, the use of hydrazine derivatives is limited due to the emergence of the tricyclic antidepressants. (NCI04) This molecule is a key building block for the preparation of many heterocyclic compounds via condensation with a range of difunctional electrophiles. With 2,4-pentanedione, it condenses to give the 3,5-dimethylpyrazole. In the Einhorn-Brunner reaction hydrazines react with imides to give triazoles. Hydrazine is a convenient reductant because the by-products are typically nitrogen gas and water. Thus, it is used as an antioxidant, an oxygen scavenger, and a corrosion inhibitor in water boilers and heating systems. It is also used to reduce metal salts and oxides to the pure metals in electroless nickel plating and plutonium extraction from nuclear reactor waste. Hydrazine is an inorganic chemical compound with the formula N2H4. It is a colourless liquid with an ammonia-like odor and is derived from the same industrial chemistry processes that manufacture ammonia. However, hydrazine has physical properties that are more similar to those of water. The propanone azine is an intermediate in the Atofina-PCUK synthesis. Direct alkylation of hydrazines with alkyl halides in the presence of base affords alkyl-substituted hydrazines, but the reaction is typically inefficient due to poor control on level of substitution (same as in ordinary amines). The reduction of hydrazones to hydrazines present a clean way to produce 1,1-dialkylated hydrazines.",CHEMBL1237174
Cc1ccccn1,-4.63,"This molecule is a colorless liquid with a strong, unpleasant odor. Floats on water. Poisonous vapor is produced. (USCG, 1999) This molecule is a methylpyridine carrying a methyl substituent at position 2. This molecule is a metabolite found in or produced by Saccharomyces cerevisiae. This molecule is a natural product found in Camellia sinensis, Mentha arvensis, and other organisms with data available.",CHEMBL15732
CCNc1nc(nc(n1)Cl)NCC,-10.22,,
c1ccc2c(c1)Oc3cc(c(cc3O2)Cl)Cl,-3.56,,
CCCCCCCCN,-3.65,"This molecule appears as a yellow liquid with an ammonia-like odor. Insoluble in water and less dense than water. Hence floats on water. Contact may irritate skin, eyes and mucous membranes. May be toxic by ingestion. Used to make other chemicals. This molecule is an 8-carbon primary aliphatic amine. It has a role as a metabolite. It is a conjugate base of an octan-1-aminium. This molecule is a natural product found in Hippodamia convergens, Apis cerana, and other organisms with data available.",CHEMBL1160509
N,-4.29,"This molecule occurs naturally and is produced by human activity. It is an important source of nitrogen which is needed by plants and animals. Bacteria found in the intestines can produce ammonia. This molecule is a colorless gas with a very distinct odor. This odor is familiar to many people because ammonia is used in smelling salts, many household and industrial cleaners, and window-cleaning products. This molecule gas can be dissolved in water. This kind of ammonia is called liquid ammonia or aqueous ammonia. Once exposed to open air, liquid ammonia quickly turns into a gas. This molecule is applied directly into soil on farm fields, and is used to make fertilizers for farm crops, lawns, and plants. Many household and industrial cleaners contain ammonia. This molecule appears as a clear colorless liquid consisting of ammonia dissolved in water. Corrosive to tissue and metals. Although ammonia is lighter than air, the vapors from a leak will initially hug the ground. Long term exposure to low concentrations or short term exposure to high concentrations may result in adverse health conditions from inhalation. Prolonged exposure of containers to fire or heat may result in their violent rupturing and rocketing. This molecule appears as a clear colorless gas with a strong odor. Shipped as a liquid under its own vapor pressure. Density (liquid) 6 lb / gal. Contact with the unconfined liquid can cause frostbite. Gas generally regarded as nonflammable but does burn within certain vapor concentration limits and with strong ignition. Fire hazard increases in the presence of oil or other combustible materials. Although gas is lighter than air, vapors from a leak initially hug the ground. Prolonged exposure of containers to fire or heat may cause violent rupturing and rocketing. Long-term inhalation of low concentrations of the vapors or short-term inhalation of high concentrations has adverse health effects. Used as a fertilizer, as a refrigerant, and in the manufacture of other chemicals.   Rate of onset: Immediate  Persistence: Minutes  Odor threshold: 17 ppm  Source/use/other hazard: Explosives manufacture; pesticides; detergents industry. This molecule appears as a colorless aqueous liquid solution with a strong odor of ammonia. Both liquid and vapors extremely irritating, especially to the eyes. This molecule is an azane that consists of a single nitrogen atom covelently bonded to three hydrogen atoms. It has a role as a nucleophilic reagent, a neurotoxin, a metabolite, an EC 3.5.1.4 (amidase) inhibitor, a refrigerant, a mouse metabolite and a NMR chemical shift reference compound. It is an azane, a mononuclear parent hydride and a gas molecular entity. It is a conjugate base of an ammonium. It is a conjugate acid of an azanide. This molecule is a naturally-occurring compound with a chemical formula NH3 and structure of trigonal pyramidal geometry. It is a colorless gas with a pungent smell, and become NH4, or ammonium ion, when in water. Although ammonia is used as a food additive in the anhydrous form and serves as a starting material in pharmaceutical and commercial products, it is caustic and hazardous when concentrated. This molecule gas has been used in the clinical setting as a respiratory stimulant to prevent fainting. The radiolabelled form of ammonia, ammonia N 13, is intravenously administered as a radioactive diagnostic agent for Positron Emission Tomography (PET) imaging of the myocardium to evaluate myocardial perfusion. This molecule is a natural byproduct of biological and chemical reactions, including decomposition of organic matter, including plants, animals, and animal wastes. It is present in normally present in all tissues constituting a metabolic pool, where it is mostly taken up by glutamic acid and take part in transamination and other reactions, including the synthesis of protein by the Krebs-Hanseleit cycle in the liver. It is proposed that human adults produce about 1000 mmol of ammonia daily, most of which undergoes excretion in the urine. This molecule is an inorganic compound composed of a single nitrogen atom covalently bonded to three hydrogen atoms that is an amidase inhibitor and neurotoxin. It is both manufactured and produced naturally from bacterial processes and the breakdown of organic matter. This molecule is used in many industrial processes, and as a fertilizer and refrigerant. It is characterized as a colorless gas or compressed liquid with a pungent odor and exposure occurs by inhalation, ingestion, or contact. This molecule is a metabolite found in or produced by Escherichia coli (strain K12, MG1655). This molecule is a metabolite found in or produced by Saccharomyces cerevisiae. This molecule is a natural product found in Psophocarpus tetragonolobus, Arabidopsis thaliana, and other organisms with data available. This molecule is a colorless alkaline gas with a characteristic sharp smell. This molecule is one of the most abundant nitrogen-containing compounds in the atmosphere. It is an irritant with a characteristic pungent odor, which is widely used in industry. Inasmuch as ammonia is highly soluble in water and, upon inhalation, is deposited in the upper airways, occupational exposures to ammonia have commonly been associated with sinusitis, upper airway irritation, and eye irritation. Acute exposures to high levels of ammonia have also been associated with diseases of the lower airways and interstitial lung. This molecule has been shown to be a neurotoxin that predominantly affects astrocytes. Disturbed mitochondrial function and oxidative stress, factors implicated in the induction of the mitochondrial permeability transition, appear to be involved in the mechanism of ammonia neurotoxicity. This molecule is formed in nearly all tissues and organs of the vertebrate organism; it is the most common endogenous neurotoxic compounds. This molecule can affect the glutamatergic and GABAergic neuronal systems, the two prevailing neuronal systems of the cortical structures. This molecule is well recognized to be central in the pathogenesis of hepatic encephalopathy and has been of importance to generations dating back to the early Egyptians. The gut produces ammonia which is metabolized in the liver and almost all organ systems are involved in ammonia metabolism. Colonic bacteria produce ammonia by splitting urea and other amino acids, however this does not explain hyperammonemia and hepatic encephalopathy. The alternative explanation is that hyperammonemia is the result of intestinal breakdown of amino acids, especially glutamine. The intestines have significant glutaminase activity, predominantly located in the enterocytes. On the other hand, this organ has only a little glutamine synthetase activity, making it a major glutamine-consuming organ. In addition to the intestine, the kidney is an important source of blood ammonia in patients with liver disease. This molecule is also taken up by the muscle and brain in hepatic coma, and there is confirmation that ammonia is metabolized in muscle. The excessive formation of ammonia in the brains of Alzheimer's disease patients has been demonstrated, and it has been shown that some Alzheimer's disease patients exhibit elevated blood ammonia concentrations. This molecule is the most important natural modulator of lysosomal protein processing: there is evidence for the involvement of aberrant lysosomal processing of beta-amyloid precursor protein (beta-APP) in the formation of amyloid deposits. Inflammatory processes and activation of microglia are widely believed to be implicated in the pathology of Alzheimer's disease. This molecule is able to affect the characteristic functions of microglia, such as endocytosis, and cytokine production. Based on these facts, an ammonia-based hypothesis for Alzheimer's disease has been suggested. (A7717, A7718, A7719, A7720, A7721).",CHEMBL1160819
c1ccc(c(c1)C(F)(F)F)C(F)(F)F,1.07,,
COC(=O)c1ccc(cc1)O,-9.51,,
CCCCCc1ccccc1,-0.23,,
CC(F)F,-0.11,"This molecule is colorless, odorless gas shipped as a liquefied gas under its vapor pressure. Contact with the liquid can cause frostbite. It is easily ignited. Its vapors are heavier than air and a flame can travel back to the source of leak very easily. This leak can be either a liquid or vapor leak. It can asphyxiate by the displacement of air. Under prolonged exposure to fire or heat the containers may rupture violently and rocket.",CHEMBL325493
c1ccc(cc1)n2c(=O)c(c(cn2)N)Cl,-16.43,,
C=CC=C,0.56,"This molecule is a chemical made from the processing of petroleum. It is the 36th highest volume chemical produced in the United States. It is a colorless gas with a mild gasoline-like odor. About 75% of the manufactured 1,3-butadiene is used to make synthetic rubber. Synthetic rubber is widely used for tires on cars and trucks. This molecule is also used to make plastics including acrylics. Small amounts are found in gasoline. This molecule is a colorless gas with an aromatic odor. It is shipped as a liquefied gas under its vapor pressure. Contact with the liquid can cause frostbite. It is easily ignited. Its vapors are heavier than air and a flame can flash back to the source of leak very easily. It can asphyxiate by the displacement of air. It must be shipped inhibited as butadiene is liable to polymerization. If polymerization occurs in the container, it may violently rupture. Under prolonged exposure to fire or intense heat the containers may rupture violently and rocket. It is used to make synthetic rubber and plastics, and to make other chemicals. This molecule is a butadiene with unsaturation at positions 1 and 3. It has a role as a carcinogenic agent and a mutagen. This molecule is a constant source of 1,3-butadiene. Although 1,3-butadiene breaks down quickly in the atmosphere, it is usually found in ambient air at low levels in urban and suburban areas. Acute (short-term) exposure to 1,3-butadiene by inhalation in humans results in irritation of the eyes, nasal passages, throat, and lungs. Epidemiological studies have reported a possible association between 1,3- butadiene exposure and cardiovascular diseases. Epidemiological studies of workers in rubber plants have shown an association between 1,3-butadiene exposure and increased incidence of leukemia. Animal studies have reported tumors at various sites from 1,3-butadiene exposure. EPA has classified 1,3- butadiene as carcinogenic to humans by inhalation. This molecule is a synthetic, colorless gas that is practically insoluble in water and soluble in ethanol, ether, acetone and benzene. It is used primarily as a monomer to manufacture many different types of polymers and copolymers and as a chemical intermediate in the production of industrial chemicals. When heated, 1,3-butadiene emits acrid fumes and is flammable. In the presence of air, it oxidizes to form explosive peroxides. The primary route of potential human exposure to this compound is inhalation. Acute exposure to 1,3-butadiene can cause irritation of the eyes, nasal passages and throat. At very high concentrations, inhalation of this gas can result in headache, fatigue, decreased blood pressure and pulse rate, central nervous system damage and unconsciousness. It is known to be a human carcinogen. (NCI05) This molecule is a natural product found in Oryza sativa with data available. This molecule is a simple conjugated diene with the formula C4H6. It is an important industrial chemical used as a monomer in the production of synthetic rubber. When the word butadiene is used, most of the time it refers to 1,3-butadiene. This molecule is inconvenient for laboratory use because it is a flammable gas subject to polymerization on storage. 3-Butadiene cyclic sulfone (sulfolene) is a convenient solid storable source for 1,3-butadiene for many laboratory purposes when the generation of sulfur dioxide byproduct in the reaction mixture is not objectionable. Long-term exposure has been associated with cardiovascular disease, there is a consistent association with leukemia, and weaker association with other cancers. Most butadiene is polymerized to produce synthetic rubber. While polybutadiene itself is a very soft, almost liquid material, copolymers prepared from mixtures of butadiene with styrene and/or acrylonitrile, such as acrylonitrile butadiene styrene (ABS), acrylonitrile butadiene (NBR) and styrene-butadiene (SBR) are tough and elastic. SBR is the material most commonly used for the production of automobile tires. Smaller amounts of butadiene are used to make the nylon intermediate, adiponitrile, by the addition of a molecule of hydrogen cyanide to each of the double bonds in a process called hydrocyanation developed by DuPont. Other synthetic rubber materials such as chloroprene, and the solvent sulfolane are also manufactured from butadiene. Butadiene is used in the industrial production of 4-vinylcyclohexene via a Diels Alder dimerization reaction and the vinylcyclohexene is a common impurity found in butadiene upon storage. Cyclooctadiene and cyclododecatriene are produced via nickel- or titanium-catalyzed dimerization and trimerization reactions, respectively. Butadiene is also useful in the synthesis of cycloalkanes and cycloalkenes, as it reacts with double and triple carbon-carbon bonds through the Diels-Alder reaction. The name butadiene can also refer to the isomer, 1,2-butadiene, which is a cumulated diene. However, this allene is difficult to prepare and has no industrial significance. This diene is also not expected to act as a diene in a Diels-Alder reaction due to its structure. To effect a Diels-Alder reaction only a conjugated diene will suffice.",CHEMBL537970
CN(C)C,-3.2,"This molecule appears as a colorless gas with a fishlike odor at low concentrations changing to ammonia-like odor at higher concentrations. Shipped as a liquid under its own vapor pressure. Contact with the unconfined liquid can cause frostbite from evaporative cooling or chemical type burns. The gasis corrosive and dissolves in water to form flammable, corrosive solutions. Gas is an asphyxiate by the displacement of air. Produces toxic oxides of nitrogen during combustion. Prolonged exposure to heat can cause the containers to rupture violently and rocket. Long-term inhalation of low concentrations or short -term inhalation of high concentrations has adverse health effects. This molecule is a tertiary amine that is ammonia in which each hydrogen atom is substituted by an methyl group. It has a role as a human xenobiotic metabolite and an Escherichia coli metabolite. It is a tertiary amine and a member of methylamines. It is a conjugate base of a trimethylammonium. This molecule is a metabolite found in or produced by Escherichia coli (strain K12, MG1655). This molecule is a natural product found in Velella velella, Amorphophallus brachyphyllus, and other organisms with data available. This molecule is a uremic toxin.  Uremic toxins can be subdivided into three major groups based upon their chemical and physical characteristics: 1) small, water-soluble, non-protein-bound compounds, such as urea; 2) small, lipid-soluble and/or protein-bound compounds, such as the phenols and 3) larger so-called middle-molecules, such as beta2-microglobulin. Chronic exposure of uremic toxins can lead to a number of conditions including renal damage, chronic kidney disease and cardiovascular disease. 
This molecule, also known as NMe3, N(CH3)3, and TMA, is a colorless, hygroscopic, and flammable simple amine with a typical fishy odor in low concentrations and an ammonia like odor in higher concentrations. This molecule has a boiling point of 2.9 degree centigrade and is a gas at room temperature. This molecule usually comes in pressurized gas cylinders or as a 40% solution in water. This molecule is a nitrogenous base and its positively charged cation is called trimethylammonium cation. A common salt of trimethylamine is trimethylammonium chloride, a hygroscopic colorless solid. This molecule is a product of decomposition of plants and animals. It is the substance mainly responsible for the fishy odor often associated with fouling fish, bacterial vagina infections, and bad breath. It is also associated with taking large doses of choline. Trimethylaminuria is a genetic disorder in which the body is unable to metabolize trimethylamine from food sources. Patients develop a characteristic fish odour of their sweat, urine, and breath after the consumption of choline-rich foods. Trimethylaminuria is an autosomal recessive disorder involving a trimethylamine oxidase deficiency. Trimethylaminuria has also been observed in a certain breed of Rhode Island Red chicken that produces eggs with a fishy smell.",CHEMBL439723
CCCCCC(=O)N,-9.31,,
CC(C)CO[N+](=O)[O-],-1.88,,CHEMBL401409
c1ccc2c(c1)C(=O)c3cccc(c3C2=O)NCCO,-14.21,,
C(CO[N+](=O)[O-])O,-8.18,,
CCCCCCC(=O)C,-2.88,,
CN1CCNCC1,-7.77,This molecule is a N-methylpiperazine.,CHEMBL1011
