smiles,Hepatobiliary disorders,Metabolism and nutrition disorders,Product issues,Eye disorders,Investigations,Musculoskeletal and connective tissue disorders,Gastrointestinal disorders,Social circumstances,Immune system disorders,Reproductive system and breast disorders,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)",General disorders and administration site conditions,Endocrine disorders,Surgical and medical procedures,Vascular disorders,Blood and lymphatic system disorders,Skin and subcutaneous tissue disorders,"Congenital, familial and genetic disorders",Infections and infestations,"Respiratory, thoracic and mediastinal disorders",Psychiatric disorders,Renal and urinary disorders,"Pregnancy, puerperium and perinatal conditions",Ear and labyrinth disorders,Cardiac disorders,Nervous system disorders,"Injury, poisoning and procedural complications",description,chembl_id
CC(C)CN(C[C@H]([C@H](CC1=CC=CC=C1)NC(=O)O[C@H]2CO[C@@H]3[C@H]2CCO3)O)S(=O)(=O)C4=CC=C(C=C4)N,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,,
C1CC[C@H]([C@@H](C1)CN2CCN(CC2)C3=NSC4=CC=CC=C43)CN5C(=O)[C@H]6[C@@H]7CC[C@@H](C7)[C@H]6C5=O,1,1,0,1,1,1,1,0,0,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,,
CCCSC1=NC2=C(C(=N1)N[C@@H]3C[C@H]3C4=CC(=C(C=C4)F)F)N=NN2[C@@H]5C[C@@H]([C@H]([C@H]5O)O)OCCO,0,1,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,1,1,1,1,,
C1CN(CC2=C1SC=C2)CC3=CC=CC=C3Cl,1,1,0,1,1,1,1,0,1,0,1,1,0,0,1,1,1,0,1,1,0,1,0,1,0,1,1,,
Cl[Tl],0,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,,
CC1=NN=C(N1C2CC3CCC(C2)N3CC[C@@H](C4=CC=CC=C4)NC(=O)C5CCC(CC5)(F)F)C(C)C,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,,
C[N+](C)(C)CC(CC(=O)O)O,0,1,0,1,1,1,1,0,1,0,0,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,,
CN1C2=C(C=C(C=C2)N(CCCl)CCCl)N=C1CCCC(=O)O,0,1,0,0,1,1,1,0,1,0,1,1,0,0,1,1,1,0,1,1,1,1,0,0,1,1,1,,
CCN(CC)C(=O)/C(=C/C1=CC(=C(C(=C1)O)O)[N+](=O)[O-])/C#N.C[C@](CC1=CC(=C(C=C1)O)O)(C(=O)O)NN.C1=CC(=C(C=C1C[C@@H](C(=O)O)N)O)O,0,1,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,1,1,1,0,0,1,1,1,,
C(CC(=O)O)CN,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,
C[C@H]1C[C@H]2[C@@H]3C[C@@H](C4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)CCl)O)C)O)F)C)F,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,,
CC(C)CN1C=NC2=C1C3=CC=CC=C3N=C2N,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,,
CC[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=CC(=O)CC[C@H]34.C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=C3C=CC(=C4)O,0,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,,
CC1=CC(=C(N1)C=C2C3=CC=CC=C3NC2=O)C,1,1,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,1,1,1,0,1,1,1,1,,
C(CC(=O)O)C(=O)CN,1,0,0,1,1,0,1,0,0,0,1,1,0,0,1,1,1,0,1,1,1,0,0,0,1,1,1,,
C1C(N(C2=C(N1)NC(=NC2=O)N)C=O)CNC3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,1,1,,
CCC12CC(=C)C3C(C1CC[C@]2(C#C)O)CCC4=CC(=O)CCC34.C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=C3C=CC(=C4)O,0,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,1,0,1,1,1,1,0,0,0,1,1,,
CN1C(CNC2=C1C(=O)N=C(N2)N)CNC3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
CCCCC(=O)O[C@@]1([C@H](C[C@@H]2[C@@]1(C[C@@H]([C@]3([C@H]2CCC4=CC(=O)C=C[C@@]43C)F)O)C)C)C(=O)CO,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,,
CC[C@H](C)[C@@H](C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CO)C(=O)N[C@@H](CCC(=O)N)C(=O)N[C@@H](CC(=O)N)C(=O)N[C@@H](CCC(=O)N)C(=O)N[C@@H](CCC(=O)N)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC(=O)N)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCC(=O)N)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC1=CNC2=CC=CC=C21)C(=O)N[C@@H](C)C(=O)N[C@@H](CO)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC3=CNC4=CC=CC=C43)C(=O)N[C@@H](CC(=O)N)C(=O)N[C@@H](CC5=CNC6=CC=CC=C65)C(=O)N[C@@H](CC7=CC=CC=C7)C(=O)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CO)NC(=O)[C@H](CC8=CN=CN8)NC(=O)[C@H]([C@@H](C)CC)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CO)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CC9=CC=C(C=C9)O)NC(=O)C,1,1,0,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1,1,1,1,0,1,1,1,1,,
CCCCCC(C=CC1C(CC(=O)C1CC=CCCCC(=O)O)O)O,0,1,0,1,1,1,1,0,1,1,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,,
CCCCCC(C=CC1C(CC2C1CC(=CCCCC(=O)O)O2)O)O,1,1,0,0,1,1,1,0,1,0,0,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,,
CCCCCC(C=CC1C(CC(C1CC=CCCCC(=O)O)O)O)O,0,0,0,0,1,1,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,,
CC(=O)O.C(C(C(C(C(C=O)O)O)O)O)O,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,,
CC(=O)[O-],0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
CC(=O)OCC[N+](C)(C)C,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,"This molecule is actylcholine is an ester of acetic acid and choline, which acts as a neurotransmitter. It has a role as a vasodilator agent, a muscarinic agonist, a hormone, a human metabolite, a mouse metabolite and a neurotransmitter. It is an acetate ester and an acylcholine. A neurotransmitter. Acetylcholine in vertebrates is the major transmitter at neuromuscular junctions, autonomic ganglia, parasympathetic effector junctions, a subset of sympathetic effector junctions, and at many sites in the central nervous system. It is generally not used as an administered drug because it is broken down very rapidly by cholinesterases, but it is useful in some ophthalmological applications. This molecule is a Cholinergic Receptor Agonist. The mechanism of action of acetylcholine is as a Cholinergic Agonist. This molecule is a natural product found in Monascus pilosus, Poa huecu, and other organisms with data available.",CHEMBL667
C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)CO)O)O,0,0,1,1,1,1,1,0,1,0,0,1,0,0,1,0,1,0,0,1,1,1,0,1,1,1,1,,
CCCN(CCC1=CC=CS1)C2CCC3=C(C2)C=CC=C3O,0,1,0,1,1,1,1,0,1,1,1,1,0,0,1,0,1,0,1,1,1,0,0,1,0,1,1,,
C1=CO[C@@H]([C@H]([C@@H]1O)O)C(=O)O.Cl,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,,
C(C1C(C(C(C(O1)O)O)O)O)O,0,1,0,1,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0,1,1,1,,
CCCCCC(C=CC1C(CC(=O)C1CCCCCCC(=O)O)O)O,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,,
N,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,"This molecule occurs naturally and is produced by human activity. It is an important source of nitrogen which is needed by plants and animals. Bacteria found in the intestines can produce ammonia. This molecule is a colorless gas with a very distinct odor. This odor is familiar to many people because ammonia is used in smelling salts, many household and industrial cleaners, and window-cleaning products. This molecule gas can be dissolved in water. This kind of ammonia is called liquid ammonia or aqueous ammonia. Once exposed to open air, liquid ammonia quickly turns into a gas. This molecule is applied directly into soil on farm fields, and is used to make fertilizers for farm crops, lawns, and plants. Many household and industrial cleaners contain ammonia. This molecule appears as a clear colorless liquid consisting of ammonia dissolved in water. Corrosive to tissue and metals. Although ammonia is lighter than air, the vapors from a leak will initially hug the ground. Long term exposure to low concentrations or short term exposure to high concentrations may result in adverse health conditions from inhalation. Prolonged exposure of containers to fire or heat may result in their violent rupturing and rocketing. This molecule appears as a clear colorless gas with a strong odor. Shipped as a liquid under its own vapor pressure. Density (liquid) 6 lb / gal. Contact with the unconfined liquid can cause frostbite. Gas generally regarded as nonflammable but does burn within certain vapor concentration limits and with strong ignition. Fire hazard increases in the presence of oil or other combustible materials. Although gas is lighter than air, vapors from a leak initially hug the ground. Prolonged exposure of containers to fire or heat may cause violent rupturing and rocketing. Long-term inhalation of low concentrations of the vapors or short-term inhalation of high concentrations has adverse health effects. Used as a fertilizer, as a refrigerant, and in the manufacture of other chemicals.   Rate of onset: Immediate  Persistence: Minutes  Odor threshold: 17 ppm  Source/use/other hazard: Explosives manufacture; pesticides; detergents industry. This molecule appears as a colorless aqueous liquid solution with a strong odor of ammonia. Both liquid and vapors extremely irritating, especially to the eyes. This molecule is an azane that consists of a single nitrogen atom covelently bonded to three hydrogen atoms. It has a role as a nucleophilic reagent, a neurotoxin, a metabolite, an EC 3.5.1.4 (amidase) inhibitor, a refrigerant, a mouse metabolite and a NMR chemical shift reference compound. It is an azane, a mononuclear parent hydride and a gas molecular entity. It is a conjugate base of an ammonium. It is a conjugate acid of an azanide. This molecule is a naturally-occurring compound with a chemical formula NH3 and structure of trigonal pyramidal geometry. It is a colorless gas with a pungent smell, and become NH4, or ammonium ion, when in water. Although ammonia is used as a food additive in the anhydrous form and serves as a starting material in pharmaceutical and commercial products, it is caustic and hazardous when concentrated. This molecule gas has been used in the clinical setting as a respiratory stimulant to prevent fainting. The radiolabelled form of ammonia, ammonia N 13, is intravenously administered as a radioactive diagnostic agent for Positron Emission Tomography (PET) imaging of the myocardium to evaluate myocardial perfusion. This molecule is a natural byproduct of biological and chemical reactions, including decomposition of organic matter, including plants, animals, and animal wastes. It is present in normally present in all tissues constituting a metabolic pool, where it is mostly taken up by glutamic acid and take part in transamination and other reactions, including the synthesis of protein by the Krebs-Hanseleit cycle in the liver. It is proposed that human adults produce about 1000 mmol of ammonia daily, most of which undergoes excretion in the urine. This molecule is an inorganic compound composed of a single nitrogen atom covalently bonded to three hydrogen atoms that is an amidase inhibitor and neurotoxin. It is both manufactured and produced naturally from bacterial processes and the breakdown of organic matter. This molecule is used in many industrial processes, and as a fertilizer and refrigerant. It is characterized as a colorless gas or compressed liquid with a pungent odor and exposure occurs by inhalation, ingestion, or contact. This molecule is a metabolite found in or produced by Escherichia coli (strain K12, MG1655). This molecule is a metabolite found in or produced by Saccharomyces cerevisiae. This molecule is a natural product found in Psophocarpus tetragonolobus, Arabidopsis thaliana, and other organisms with data available. This molecule is a colorless alkaline gas with a characteristic sharp smell. This molecule is one of the most abundant nitrogen-containing compounds in the atmosphere. It is an irritant with a characteristic pungent odor, which is widely used in industry. Inasmuch as ammonia is highly soluble in water and, upon inhalation, is deposited in the upper airways, occupational exposures to ammonia have commonly been associated with sinusitis, upper airway irritation, and eye irritation. Acute exposures to high levels of ammonia have also been associated with diseases of the lower airways and interstitial lung. This molecule has been shown to be a neurotoxin that predominantly affects astrocytes. Disturbed mitochondrial function and oxidative stress, factors implicated in the induction of the mitochondrial permeability transition, appear to be involved in the mechanism of ammonia neurotoxicity. This molecule is formed in nearly all tissues and organs of the vertebrate organism; it is the most common endogenous neurotoxic compounds. This molecule can affect the glutamatergic and GABAergic neuronal systems, the two prevailing neuronal systems of the cortical structures. This molecule is well recognized to be central in the pathogenesis of hepatic encephalopathy and has been of importance to generations dating back to the early Egyptians. The gut produces ammonia which is metabolized in the liver and almost all organ systems are involved in ammonia metabolism. Colonic bacteria produce ammonia by splitting urea and other amino acids, however this does not explain hyperammonemia and hepatic encephalopathy. The alternative explanation is that hyperammonemia is the result of intestinal breakdown of amino acids, especially glutamine. The intestines have significant glutaminase activity, predominantly located in the enterocytes. On the other hand, this organ has only a little glutamine synthetase activity, making it a major glutamine-consuming organ. In addition to the intestine, the kidney is an important source of blood ammonia in patients with liver disease. This molecule is also taken up by the muscle and brain in hepatic coma, and there is confirmation that ammonia is metabolized in muscle. The excessive formation of ammonia in the brains of Alzheimer's disease patients has been demonstrated, and it has been shown that some Alzheimer's disease patients exhibit elevated blood ammonia concentrations. This molecule is the most important natural modulator of lysosomal protein processing: there is evidence for the involvement of aberrant lysosomal processing of beta-amyloid precursor protein (beta-APP) in the formation of amyloid deposits. Inflammatory processes and activation of microglia are widely believed to be implicated in the pathology of Alzheimer's disease. This molecule is able to affect the characteristic functions of microglia, such as endocytosis, and cytokine production. Based on these facts, an ammonia-based hypothesis for Alzheimer's disease has been suggested. (A7717, A7718, A7719, A7720, A7721).",CHEMBL1160819
CC1=CC2=C(C=C1C(=C)C3=CC=C(C=C3)C(=O)O)C(CCC2(C)C)(C)C,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,,
CC(=O)NCCC1=CC=CC2=C1C=C(C=C2)OC,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,,
C(CC(C(=O)O)N)CN=C(N)N,0,1,0,0,1,0,1,0,1,0,0,1,0,1,1,0,1,1,0,1,0,1,0,0,1,1,0,,
C1=CC=C(C=C1)CO,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,,
C[N+](C)(C)CC(=O)[O-],0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,1,0,"This molecule is a modified amino acid consisting of glycine with three methyl groups that serves as a methyl donor in several metabolic pathways and is used to treat the rare genetic causes of homocystinuria. This molecule has had only limited clinical use, but has not been linked to instances of serum enzyme elevations during therapy or to clinically apparent liver injury. This molecule is the amino acid betaine derived from glycine. It has a role as a fundamental metabolite. It is an amino-acid betaine and a glycine derivative. It is a conjugate base of a N,N,N-trimethylglycinium. This molecule is a methyl group donor that functions in the normal metabolic cycle of methionine. It is a naturally occurring choline derivative commonly ingested through diet, with a role in regulating cellular hydration and maintaining cell function. Homocystinuria is an inherited disorder that leads to the accumulation of homocysteine in plasma and urine. Currently, no treatments are available to correct the genetic causes of homocystinuria. However, in order to normalize homocysteine levels, patients can be treated with vitamin B6 ([pyridoxine]), vitamin B12 ([cobalamin]), [folate] and specific diets. This molecule reduces plasma homocysteine levels in patients with homocystinuria. Although it is present in many food products, the levels found there are insufficient to treat this condition. The FDA and EMA have approved the product Cystadane (betaine anhydrous, oral solution) for the treatment of homocystinuria, and the EMA has approved the use of Amversio (betaine anhydrous, oral powder). This molecule is a Methylating Agent. The mechanism of action of betaine is as a Methylating Activity. This molecule is a metabolite found in or produced by Escherichia coli (strain K12, MG1655). This molecule is a metabolite found in or produced by Saccharomyces cerevisiae. This molecule is a natural product found in Amaranthus hybridus, Cornulaca leucacantha, and other organisms with data available.",CHEMBL1182
CC[C@H](C)[C@@H](C(=O)N[C@@H](CC1=CC=C(C=C1)O)C(=O)NCC(=O)NCC(=O)N[C@@H](CS)C(=O)N[C@@H](CCC(=O)O)C(=O)NCC(=O)N[C@@H](CC(=O)N)C(=O)N[C@@H](CCC(=O)N)C(=O)N[C@@H](CC(=O)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CC2=CC=CC=C2)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CO)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CS)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCSC)C(=O)N[C@@H](CS)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CC(=O)O)C(=O)O)NC(=O)[C@H](CC3=CC=CC=C3)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CS)NC(=O)[C@H](CCC(=O)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CC4=CC=CC=C4)NC(=O)[C@H]([C@@H](C)CC)NC(=O)[C@H](CC(=O)N)NC(=O)[C@H](CC5=CC=CC=C5)NC(=O)[C@H](CC6=CC=CC=C6)NC(=O)[C@H](CC7=CNC8=CC=CC=C87)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H]9CCCN9C(=O)[C@H](CC1=CN=CN1)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CS)NC(=O)[C@@H]1CCCN1C(=O)CNC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](C)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](C)NC(=O)[C@H](CS)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CN=CN1)NC(=O)[C@H](CCSC)NC(=O)[C@H](C)NC(=O)[C@H](CCC(=O)O)N,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,,
CCCC1=NC(=C2N1NC(=NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)CC)OCC)C,1,0,0,1,1,1,1,0,1,1,0,1,0,0,1,0,1,0,1,1,1,1,0,1,1,1,1,,
CN1CC(=O)N2[C@@H](C1=O)CC3=C([C@H]2C4=CC5=C(C=C4)OCO5)NC6=CC=CC=C36,0,0,0,1,1,1,1,0,1,1,0,1,0,0,1,0,1,0,1,1,1,1,0,1,1,1,1,,
I,0,0,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,"This molecule appears as a colorless to yellow liquid with a pungent odor. Consists of a solution of hydrogen iodide in water. Fumes irritate the eyes and mucous membranes. Corrosive to metals and to tissue. This molecule appears as a colorless to yellow/brown gas with an acrid odor. Nonflammable. Toxic by inhalation. Strongly irritates skin, eyes and mucous membranes. Long-term inhalation of low concentrations or short-term inhalation of high concentrations may result in adverse health effects. Prolonged exposure to fire or intense heat may cause the container to rupture and rocket. This molecule is chemical element with atomic number 53. It has a role as a micronutrient and a human metabolite. This molecule is under investigation in clinical trial NCT00079417 (Neoadjuvant Carboplatin and Vincristine and Standard Local Ophthalmic Therapy in Treating Patients With Intraocular Retinoblastoma). This molecule is a radioactive isotope of iodine, a nonmetallic element of the halogen group.  With a half-life of 60 days, iodine 125 occurs naturally and can be produced artificially.  This agent has both therapeutic and diagnostic uses, particularly in thyroid disease. (NCI04) This molecule is a natural product found in Homo sapiens and Bos taurus with data available.",CHEMBL1233550
[Ca+2],0,1,0,0,0,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,0,0,1,1,0,,
C[C@]12CCC(=O)C=C1[C@@H]3C[C@@H]3[C@@H]4[C@@H]2CC[C@]5([C@H]4[C@@H]6C[C@@H]6[C@@]57CCC(=O)O7)C.C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=C3C=CC(=C4)O,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,,
