smiles,Compound ID,ESOL predicted log solubility in mols per litre,Minimum Degree,Molecular Weight,Number of H-Bond Donors,Number of Rings,Number of Rotatable Bonds,Polar Surface Area,measured log solubility in mols per litre,description,chembl_id
CCCCC1(CC)C(=O)NC(=O)NC1=O,Butethal,-1.974,1,212.249,2,1,4,75.27000000000001,-1.661,"This molecule is a member of barbiturates. This molecule is a sedative and a hypnotic drug. This molecule is only found in individuals that have used or taken this drug. It is a sedative and a hypnotic drug.This molecule binds at a distinct binding site associated with a Cl<sup>-</sup> ionopore at the GABA<sub>A</sub> receptor, increasing the duration of time for which the Cl<sup>-</sup> ionopore is open. The post-synaptic inhibitory effect of GABA in the thalamus is, therefore, prolonged. All of these effects are associated with marked decreases in GABA-sensitive neuronal calcium conductance (gCa). The net result of barbiturate action is acute potentiation of inhibitory GABAergic tone. Barbiturates also act through potent (if less well characterized) and direct inhibition of excitatory AMPA-type glutamate receptors, resulting in a profound suppression of glutamatergic neurotransmission.",CHEMBL404422
ClC(Cl)=C(c1ccc(Cl)cc1)c2ccc(Cl)cc2,"P,P'-DDE",-6.553,1,318.0300000000001,0,2,2,0.0,-6.9,,
CCCCCCCC(=O)OC,Methyl octanoate,-2.608,1,158.241,0,0,6,26.3,-3.17,"This molecule appears as a colorless liquid. Insoluble in water and about the same density as water. Used to make other chemicals. This molecule is a fatty acid methyl ester resulting from the formal condensation of the carboxy group of octanoic acid with the hydroxy group of methanol. It has a role as a metabolite. It is a fatty acid methyl ester and an octanoate ester. This molecule is a metabolite found in or produced by Saccharomyces cerevisiae. This molecule is a natural product found in Humulus lupulus, Elsholtzia fruticosa, and other organisms with data available.",CHEMBL3183908
CCc1ccc(CC)cc1,"1,4-Diethylbenzene ",-3.633,1,134.22199999999998,0,1,2,0.0,-3.75,This molecule is a member of benzenes.,CHEMBL3187283
CCOP(=S)(OCC)SCSC(C)(C)C,Terbufos,-4.367,1,288.44,0,0,7,18.46,-4.755,"This molecule is a clear, colorless to pale yellow liquid. Used as a soil insecticide. (EPA, 1998) This molecule is an organic thiophosphate, an organothiophosphate insecticide and an organosulfur compound. It has a role as an EC 3.1.1.7 (acetylcholinesterase) inhibitor, an agrochemical and a nematicide. This molecule is a synthetic organic thiophosphate compound and organophosphate acetylcholinesterase inhibitor that is used as a pesticide. It is characterized as a colorless to pale yellow liquid with a mercaptan-like odor, and exposure occurs by inhalation, ingestion, or contact. This molecule is a natural product found in Paeonia suffruticosa with data available.",CHEMBL1406292
COC(=O)Nc1cccc(OC(=O)Nc2cccc(C)c2)c1,Phenmedipham,-4.229,1,300.314,2,2,3,76.66,-4.805,"This molecule appears as colorless crystals or white powder. (NTP, 1992) This molecule is a carbamate ester that is (3-methylphenyl)carbamic acid in which the hydrogen of the hydroxy group has been replaced by a 3-[(methoxycarbonyl)amino]phenyl group. It has a role as an environmental contaminant, a xenobiotic and a herbicide. This molecule is a selective herbicide of the carbanilate and biscarbamate classes. Carbamate pesticides are derived from carbamic acid and kill insects in a similar fashion as organophosphate insecticides. They are widely used in homes, gardens and agriculture. The first carbamate, carbaryl, was introduced in 1956 and more of it has been used throughout the world than all other carbamates combined. Because of carbaryl's relatively low mammalian oral and dermal toxicity and broad control spectrum, it has had wide use in lawn and garden settings. Most of the carbamates are extremely toxic to Hymenoptera, and precautions must be taken to avoid exposure to foraging bees or parasitic wasps. Some of the carbamates are translocated within plants, making them an effective systemic treatment. This molecule was developed by Schering AG and approved for use in the United States in 1970. Today, about 100 tons of This molecule are used each year. It is commonly used in beet, spinach, and strawberry crops to protect against weeds, often in comination with Desmedipham under the trade names Betanal or Betamax. (L795)",CHEMBL1079421
ClC(=C)Cl,"1,1-Dichloroethylene",-1.939,1,96.944,0,0,0,0.0,-1.64,,
Cc1cccc2c1Cc3ccccc32,1-Methylfluorene,-4.478,1,180.25000000000003,0,3,0,0.0,-5.22,,
CCCCC=O,Valeraldehyde,-1.103,1,86.13399999999999,0,0,3,17.07,-0.85,"This molecule appears as a colorless liquid. Slightly soluble in water and less dense than water. Flash point 54 °F. Vapors heavier than air. Used to make artificial flavorings and rubber. This molecule is a saturated fatty aldehyde composed from five carbons in a straight chain. It has a role as a plant metabolite. This molecule is a solid. This compound belongs to the polyamines. These are compounds containing more than one amine group. This drug targets the protein cAMP-dependent protein kinase catalytic subunit alpha. This molecule is a natural product found in Zea mays, Aster scaber, and other organisms with data available.",CHEMBL18602
N(c1ccccc1)c2ccccc2,Diphenylamine,-3.857,2,169.227,1,2,2,12.03,-3.504,,
CN(C)C(=O)SCCCCOc1ccccc1,Fenothiocarb,-3.297,1,253.367,0,1,6,29.540000000000003,-3.927,,
CCCOP(=S)(OCCC)SCC(=O)N1CCCCC1C,Piperophos,-4.637,1,353.4900000000001,0,1,9,38.77,-4.15,,
CCCCCCCI,1-Iodoheptane,-3.904,1,226.101,0,0,5,0.0,-4.81,,
c1c(Cl)cccc1c2ccccc2,3-Chlorobiphenyl,-4.685,1,188.657,0,2,1,0.0,-4.88,,
OCCCC=C,4-Pentene-1-ol,-0.7909999999999999,1,86.134,1,0,3,20.23,-0.15,,
O=C2NC(=O)C1(CCC1)C(=O)N2,Cyclobutyl-5-spirobarbituric acid,-0.527,1,168.15200000000002,2,2,0,75.27,-1.655,,
CC(C)C1CCC(C)CC1O ,menthol,-2.782,1,156.269,1,1,1,20.23,-2.53,,
CC(C)OC=O,Isopropyl formate,-0.684,1,88.106,0,0,2,26.3,-0.63,This molecule is a carboxylic ester. This molecule is a natural product found in Coffea arabica with data available.,CHEMBL3184082
CCCCCC(C)O,2-Heptanol ,-1.6780000000000002,1,116.20399999999998,1,0,4,20.23,-1.55,"This molecule appears as a clear colorless alcohol with a mild alcohol odor. Insoluble in water. Floats on water. Soluble in most organic liquids. Moderately toxic. Used as a solvent for various resins and as a flotation agent for ore processing. This molecule is a secondary alcohol that is heptane substituted by a hydroxy group at position 2. It has a role as a bacterial metabolite and a plant metabolite. It is a heptanol and a secondary alcohol. This molecule is a metabolite found in or produced by Saccharomyces cerevisiae. This molecule is a natural product found in Camellia sinensis, Zea mays, and other organisms with data available.",CHEMBL449522
CC(=O)Nc1ccc(Br)cc1,p-Bromoacetanilide,-3.012,1,214.062,1,1,1,29.1,-3.083,,CHEMBL59019
c1ccccc1n2ncc(N)c(Br)c2(=O),brompyrazone,-3.005,1,266.098,1,2,1,60.91,-3.127,,
COC(=O)C1=C(C)NC(=C(C1c2ccccc2N(=O)=O)C(=O)OC)C ,nifedipine,-4.248,1,346.33900000000017,1,2,4,107.77,-4.76,,
c2c(C)cc1nc(C)ccc1c2 ,"2,7-dimethylquinoline",-3.342,1,157.216,0,2,0,12.89,-1.94,,
CCCCCCC#C,1-Octyne ,-2.509,1,110.2,0,0,4,0.0,-3.66,,
CCC1(C(=O)NC(=O)NC1=O)C2=CCCCC2 ,cyclobarbital,-2.421,1,236.271,2,2,2,75.27000000000001,-2.17,,
c1ccc2c(c1)ccc3c4ccccc4ccc23,Chrysene,-5.568,2,228.294,0,4,0,0.0,-8.057,,
CCC(C)n1c(=O)[nH]c(C)c(Br)c1=O ,Bromacil,-3.419,1,261.119,1,1,2,54.86,-2.523,,
Clc1cccc(c1Cl)c2c(Cl)c(Cl)cc(Cl)c2Cl ,"2,2',3,3',5,6-PCB",-7.185,1,360.88200000000006,0,2,1,0.0,-8.6,,
Cc1ccccc1O,2-Methylphenol,-2.281,1,108.14,1,1,0,20.23,-0.62,"This molecule appears as colorless or yellow to brown-yellow or pinkish colored liquid with a phenol-like odor. Toxic by ingestion and/or skin absorption. May have a flash point between 100 and 199 °F. Causes burns to skin, eyes and mucous membranes. Insoluble in water. This molecule is a cresol that is phenol substituted by a methyl group at position 2. It is a minor urinary metabolite of toluene. It has a role as a human xenobiotic metabolite. This molecule is a metabolite found in or produced by Saccharomyces cerevisiae. This molecule is a natural product found in Artemisia macrocephala, Daphne odora, and other organisms with data available. This molecule is a minor urinary metabolite of toluene, a widely used chemical with neurotoxicological properties. (A7726). This molecule is used commercially as a disinfectant. Exposure may occur by inhalation, by cutaneous adsorption or by oral ingestion. This molecule denature and precipitate cellular proteins and thus may rapidly cause poisoning. This molecule is metabolized by conjugation and oxidation. Ingestion of This molecule cause intense burning of mouth and throat, followed by marked abdominal pain and distress. The minimum lethal dose of cresol by mouth is about 2 g. (A5610).",CHEMBL46931
CC(C)CCC(C)(C)C,"2,2,5-Trimethylhexane",-3.631,1,128.259,0,0,2,0.0,-5.05,,
Cc1ccc(C)c2ccccc12,"1,4-Dimethylnaphthalene ",-4.147,1,156.228,0,2,0,0.0,-4.14,This molecule is a dimethylnaphthalene carrying methyl groups at positions 1 and 4. This molecule is a natural product found in Camellia sinensis with data available.,CHEMBL362076
Cc1cc2c3ccccc3ccc2c4ccccc14,6-Methylchrysene,-5.931,1,242.321,0,4,0,0.0,-6.57,,
CCCC(=O)C,2-Pentanone,-0.846,1,86.13399999999999,0,0,2,17.07,-0.19,,
Clc1cc(Cl)c(Cl)c(c1Cl)c2c(Cl)c(Cl)cc(Cl)c2Cl ,"2,2',3,3',5,5',6,6'-PCB",-8.304,1,429.77200000000016,0,2,1,0.0,-9.15,,
CCCOC(=O)CC,Methyl butyrate,-1.545,1,116.15999999999998,0,0,3,26.3,-0.82,"This molecule is a propanoate ester resulting from the formal condensation of the hydroxy group of propanol with the carboxy group of propanoic acid. It has a role as a human metabolite, a rat metabolite, a biomarker and a fungal metabolite. It is functionally related to a propan-1-ol. This molecule is a natural product found in Solanum lycopersicum, Carica papaya, and Tagetes minuta with data available.",CHEMBL3185284
CC34CC(O)C1(F)C(CCC2=CC(=O)C=CC12C)C3CC(O)C4(O)C(=O)CO,Triamcinolone,-2.734,1,394.43900000000014,4,4,2,115.06000000000002,-3.68,,
Nc1ccc(O)cc1,p-Aminophenol,-1.231,1,109.128,2,1,0,46.25,-0.8,"This molecule appears as white or reddish-yellow crystals or light brown powder. Turns violet when exposed to light. (NTP, 1992) This molecule is an amino phenol (one of the three possible isomers) which has the single amino substituent located para to the phenolic -OH group. It has a role as a metabolite and an allergen. This molecule is a natural product found in Camellia oleifera with data available. This molecule is an amphoteric molecule and a reducing agent. Aminophenols are intermediates in the synthesis of dyes and can thus be found in numerous cosmetics products, particularly hair dyes. 4-aminophenol is considered a minor nephrotoxic metabolite of phenacetin and acetaminophen (paracetamol) in man. This molecule can undergo autoxidations and metal-catalyzed and enzymatic oxidations in man to produce reactive oxygen species. (A7848) (L1882)",CHEMBL1142
O=C(Cn1ccnc1N(=O)=O)NCc2ccccc2,Benznidazole,-2.321,1,260.253,1,2,5,90.06,-2.81,,
OC4=C(C1CCC(CC1)c2ccc(Cl)cc2)C(=O)c3ccccc3C4=O,"Atovaquone(0,430mg/ml) - neutral",-6.269,1,366.84400000000016,1,4,2,54.37,-5.931,,
CCNc1nc(Cl)nc(n1)N(CC)CC,Trietazine,-3.233,1,229.715,1,1,5,53.940000000000005,-4.06,,
NC(=O)c1cnccn1,Pyrazinamide,-0.674,1,123.11499999999998,1,1,1,68.87,-0.667,"This molecule is a white powder. Sublimes from 318 °F. (NTP, 1992) This molecule is a first line antituberculosis medication, but is used only in combination with other antituberculosis medications such as isoniazid or rifampin. This molecule is associated with transient and asymptomatic elevations in serum aminotransferase levels and is a well known cause of clinically apparent, acute liver injury that can be severe and even fatal. This molecule is a monocarboxylic acid amide resulting from the formal condensation of the carboxy group of pyrazinoic acid (pyrazine-2-carboxylic acid) with ammonia. A prodrug for pyrazinoic acid, pyrazinecarboxamide is used as part of multidrug regimens for the treatment of tuberculosis. It has a role as an antitubercular agent and a prodrug. It is a member of pyrazines, a N-acylammonia and a monocarboxylic acid amide. This molecule is used therapeutically as an antitubercular agent. This molecule is an Antimycobacterial. This molecule is a synthetic pyrazinoic acid amide derivative with bactericidal property. This molecule is particularly active against slowly multiplying intracellular bacilli (unaffected by other drugs) by an unknown mechanism of action. Its bactericidal action is dependent upon the presence of bacterial pyrazinamidase, which removes the amide group to produce active pyrazinoic acid. This molecule is an important component of multidrug therapy for tuberculosis. (NCI04) This molecule is an antibacterial prescription medicine approved by the U.S. Food and Drug Administration (FDA) for the treatment of active tuberculosis (TB). (Active TB is also called TB disease.) This molecule is a metabolite found in or produced by Saccharomyces cerevisiae.",CHEMBL614
CCC(Br)(CC)C(=O)NC(N)=O,Carbromal,-2.198,1,237.097,2,0,3,72.19,-2.68,"This molecule is an odorless tasteless white crystalline powder. Saturated solution in water neutral to litmus. (NTP, 1992) This molecule is a N-acylurea.",CHEMBL1697828
Clc1ccccc1c2ccccc2Cl ,"2,2'-PCB",-4.984,1,223.102,0,2,1,0.0,-5.27,,
O=C2CN(N=Cc1ccc(o1)N(=O)=O)C(=O)N2 ,nitrofurantoin,-1.243,1,238.159,1,2,3,118.04999999999998,-3.38,,
Clc2ccc(Oc1ccc(cc1)N(=O)=O)c(Cl)c2,Nitrofen,-5.361000000000001,1,284.098,0,2,3,52.37,-5.46,,
CC1(C)C2CCC1(C)C(=O)C2,Camphor,-2.158,1,152.237,0,2,0,17.07,-1.96,,
O=C1NC(=O)NC(=O)C1(CC=C)c1ccccc1,5-Allyl-5-phenylbarbital,-2.36,1,244.25,2,2,3,75.27000000000001,-2.369,,
CCCCC(=O)OCC,Pentyl propanoate,-1.899,1,130.18699999999998,0,0,4,26.3,-2.25,"This molecule is a fatty acid ester. This molecule is a metabolite found in or produced by Saccharomyces cerevisiae. This molecule is a natural product found in Heracleum dissectum, Nepeta nepetella, and other organisms with data available.",CHEMBL47483
CC(C)CCOC(=O)C,Isopentyl acetate,-1.817,1,130.18699999999998,0,0,3,26.3,-1.92,,
O=C1N(COC(=O)CCCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,3-Hexanoyloxymethylphenyltoin,-4.1530000000000005,1,380.444,1,3,8,75.71,-5.886,,
Clc1cccc(c1)c2cc(Cl)ccc2Cl ,"2,3',5-PCB",-5.7620000000000005,1,257.547,0,2,1,0.0,-6.01,,
CCCBr,1-Bromopropane,-1.949,1,122.993,0,0,1,0.0,-1.73,"This molecule is a colorless liquid. Commercial 1-bromopropane includes not only 1-bromopropane, but also additives that improve its performance in the desired application and stabilizers to inhibit decomposition. This molecule was originally used in the production of pesticides, flavors and fragrances, pharmaceuticals, and other chemicals. This molecule appears as a colorless liquid. Slightly denser than water and slightly soluble in water. Flash point below 75 °F. When heated to high temperatures may emit toxic fumes.   Special Hazards of Combustion Products: Toxic fumes of Hydrogen Bromide (USCG, 1999) This molecule is a bromoalkane that is propane carrying a bromo substituent at position 1. It has a role as a neurotoxin and a solvent. It is a bromoalkane and a bromohydrocarbon. This molecule is a natural product found in Ascophyllum nodosum, Mastocarpus stellatus, and other organisms with data available. This molecule is an organobromide compound. It is a widely used organic solvent used for the cleaning of metal surfaces, removal of soldering residues from electronic circuit boards, and in the hole transport layer (HTL) of multi-layered OLEDs. It is also a solvent for adhesives and has been deployed as a replacement for perchloroethylene as a dry cleaning solvent. Its use as a solvent in aerosol glues used to glue foam cushions has been especially problematic. This molecule’s increasing use in the 21st century resulted from need for a substitute for chlorofluorocarbons and perchloroethylene (tetrachloroethylene). In 2013, a peer-review panel convened by the National Toxicology Program unanimously recommended that This molecule should be classified as a reasonably anticipated human carcinogen.",CHEMBL1230095
CCCC1COC(Cn2cncn2)(O1)c3ccc(Cl)cc3Cl,Propiconazole,-4.603,1,342.2260000000001,0,3,5,49.17,-3.4930000000000003,,
COP(=S)(OC)SCC(=O)N(C)C=O,Formothion,-2.087,1,257.273,0,0,6,55.84,-1.995,"This molecule appears as viscous yellow oil or a crystalline mass. Used as an insecticide and acaricide on crops and ornamentals. Not presently produced commercially in the U.S. (EPA, 1998) This molecule is a dicarboximide. This molecule is a synthetic dicarboximide compound and organophosphate acetylcholinesterase inhibitor that is used as a pesticide. It is characterized as a viscous yellow oily liquid or crystalline solid, and exposure occurs by inhalation, ingestion, or contact.",CHEMBL449733
Cc1ncnc2nccnc12,4-methylpteridine,-1.24,1,146.15299999999996,0,2,0,51.56,-0.466,,
NC(=S)N,Thiourea,0.3289999999999999,1,76.12400000000001,2,0,0,52.04,0.32,,
Cc1ccc(C)cc1,p-Xylene ,-3.035,1,106.168,0,1,0,0.0,-2.77,"This molecule appears as a colorless watery liquid with a sweet odor. Less dense than water. Insoluble in water. Irritating vapor. Freezing point is 56 °F. (USCG, 1999) This molecule is a xylene with methyl groups at positions 1 and 4. This molecule is a natural product found in Basella alba, Helianthus tuberosus, and other organisms with data available. This molecule is an aromatic hydrocarbon based on benzene with two methyl substituents with the chemical formula C8H10 or C6H4(CH3)2. The p stands for para, identifying the location of the methyl groups as across from one another. Overexposure of p-xylene in humans can cause headache, fatigue, dizziness, listlessness, confusion, irritability, gastrointestinal disturbances including nausea and loss of appetite, flushing of the face, and a feeling of increased body heat. This molecule vapor exposure over the recommended exposure limit of 100 parts per million (ppm) can cause irritation to eye, nose, and throat and possible chest tightening and an abnormal gait.",CHEMBL31561
CCc1ccccc1CC,"1,2-Diethylbenzene",-3.6010000000000004,1,134.22199999999998,0,1,2,0.0,-3.28,This molecule is a natural product found in Gossypium hirsutum and Zingiber officinale with data available.,CHEMBL3186870
ClC(Cl)(Cl)C(Cl)(Cl)Cl,Hexachloroethane,-4.215,1,236.74,0,0,0,0.0,-3.67,"This molecule is a colorless solid that gradually evaporates when it is exposed to air. It is also called HCE, perchloroethane, and carbon hexachloride. Its vapors smell like camphor. In the United States, about half of the hexachloroethane is used by the military for smoke-producing devices. It is also used to remove air bubbles in melted aluminum. This molecule may be present as an ingredient in some fungicides, insecticides, lubricants, and plastics. This molecule does not occur naturally in the environment. It is no longer made in the United States, but it is formed as a by-product in the production of some chemicals. Some hexachloroethane can be formed by incinerators when materials containing chlorinated hydrocarbons are burned. This molecule itself does not catch fire easily. Some hexachloroethane can also be formed when chlorine reacts with carbon compounds in drinking water. This molecule is a colorless, crystalline solid with a camphor-like odor. It may cause illness from inhalation or ingestion and may irritate skin, eyes and mucous membranes. When heated to high temperatures it may emit toxic fumes. The primary hazard is the threat to the environment. Immediate steps should be taken to limit its spread to the environment. It is used to make other chemicals. These molecules is a member of the class of chloroethanes that is ethane in which all the hydrogens are replaced by chloro groups. It has a role as a carcinogenic agent and a refrigerant. It is a chlorocarbon and a member of chloroethanes. This molecule is used by the military for smoke-producing devices, in metal and alloy production, and as an ingredient in insecticides. This molecule acts primarily as a central nervous system (CNS) depressant in humans acutely (short-term) exposed to it. This molecule is also moderately irritating to the skin, mucous membranes, and liver in humans. Neurological, liver, and kidney effects have been observed in animals exposed to hexachloroethane. No information is available on the chronic (long-term), reproductive, developmental, or carcinogenic effects of hexachloroethane in humans. Hepatocellular carcinomas (liver tumors) were observed in mice following oral exposure to hexachloroethane. EPA has classified hexachloroethane as a Group C, possible human carcinogen. This molecule is a crystalline, colorless, toxic, solid chlorinated hydrocarbon with a camphor-like odor and emits toxic and irritating fumes when heated to decomposition. This molecule was used as an anthelmintic to treat fascioliasis in cattle and sheep, in refining aluminum alloys, in smoke bombs and pyrotechnic and as a degassing agent and polymer additive. Exposure to this substance irritates the skin and mucous membranes, causes liver damage and acts as a central nervous system depressant. This molecule is reasonably anticipated to be a human carcinogen. (NCI05) This molecule is a natural product found in Aegle marmelos with data available.",CHEMBL160929
CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)c3ccc(OC(F)F)cc3,Flucythrinate,-6.877999999999999,1,451.4690000000001,0,3,9,68.55000000000001,-6.876,,
CCCN(=O)=O,1-Nitropropane,-0.816,1,89.09399999999998,0,0,2,43.14,-0.8,,
CC(C)C1CCC(C)CC1=O,Menthone,-2.516,1,154.253,0,1,1,17.07,-2.35,,
CCN2c1cc(Cl)ccc1NC(=O)c3cccnc23 ,RTI 24,-4.423,1,273.723,1,3,1,45.23,-5.36,,
O=N(=O)c1c(Cl)c(Cl)ccc1,"2,3-Dichloronitrobenzene",-3.322,1,192.00100000000003,0,1,1,43.14,-3.48,,
CCCC(C)C1(CC=C)C(=O)NC(=S)NC1=O ,thiamylal,-3.063,1,254.355,2,1,5,58.2,-3.46,,
c1ccc2c(c1)c3cccc4cccc2c34,Fluoranthene,-4.957,2,202.256,0,4,0,0.0,-6.0,,
CCCOC(C)C,Propylisopropylether,-1.354,1,102.17699999999998,0,0,3,9.23,-1.34,,
