smiles,lipo,description
CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,3.94,"This molecule is a white powder. Melting point 121 °C. Stable in air. Insoluble in water. A female sex hormone. Low toxicity. This molecule is a C21-steroid hormone in which a pregnane skeleton carries oxo substituents at positions 3 and 20 and is unsaturated at C(4)-C(5). As a hormone, it is involved in the female menstrual cycle, pregnancy and embryogenesis of humans and other species. It has a role as a contraceptive drug, a progestin, a progesterone receptor agonist, a human metabolite and a mouse metabolite. It is a 20-oxo steroid, a 3-oxo-Delta(4) steroid and a C21-steroid hormone. It derives from a hydride of a pregnane. This molecule is a hormone that occurs naturally in females, and is essential for endometrial receptivity, embryo implantation, and the successful establishment of pregnancy. A low progesterone concentration or an insufficient response to progesterone can cause infertility and pregnancy loss. This molecule is used in various contraceptive preparations to prevent ovulation and fertilization, as well as in other formulations to promote and support pregnancy.  Please see [Medroxyprogesterone acetate], [Megestrol acetate], [Dydrogesterone] and [Hydroxyprogesterone] entries for information on various other forms of progesterone.  Pharmaceutical progesterone is made from a plant source as a starting material and is chemically identical to progesterone of human ovarian origin. This molecule is available in gelatinized capsule form, vaginal gel form, tablet form, vaginal insert form, and injection form, all used for various purposes. This molecule is a This molecule. This molecule is the therapeutic form of the naturally occurring hormone progesterone.  Progesterone binds to the progesterone receptor, resulting in dissociation of heat shock proteins, receptor phosphorylation, and transcription activation through direct or indirect interaction with transcription factors.  This agent exerts inhibitory effects on estrogens by decreasing the number of estrogen receptors and increasing its metabolism to inactive metabolites.  Progesterone induces secretory changes in the endometrium, decreases uterine contractility during pregnancy, and maintains pregnancy. This molecule is produced in the corpus luteum and by the placenta, as an antagonist of estrogens. Promotes proliferation of uterine mucosa and the implantation of the blastocyst, prevents further follicular development. This molecule is any synthetic steroid hormone that resembles the naturally occurring hormone and has progesterone-like properties. This molecule is a natural product found in Abedus herberti, Cota palaestina, and other organisms with data available. This molecule is secreted primarily by the corpus luteum and the placenta. Progesterone acts on the uterus, the mammary glands and the brain. It is required in embryo implantation, pregnancy maintenance, and the development of mammary tissue for milk production. Progesterone, converted from pregnenolone, also serves as an intermediate in the biosynthesis of gonadal steroid hormones and adrenal corticosteroids. Progesterone is a C-21 steroid hormone involved in the female menstrual cycle, pregnancy (supports gestation) and embryogenesis of humans and other species. Progesterone belongs to a class of hormones called progestagens, and is the major naturally occurring human progestagen. During implantation and gestation, progesterone appears to decrease the maternal immune response to allow for the acceptance of the pregnancy. Progesterone decreases contractility of the uterine smooth muscle. The fetus metabolizes placental progesterone in the production of adrenal mineralo- and glucosteroids. A drop in progesterone levels is possibly one step that facilitates the onset of labor. In addition progesterone inhibits lactation during pregnancy. The fall in progesterone levels following delivery is one of the triggers for milk production."
CS(=O)(=O)c1ccccc1C(=O)NC[C@@H](O)CN2CCC(CC2)Oc3ccc(Cl)c(Cl)c3,2.34,
O=C(NCc1ccncc1)c2ccc(Oc3ccccc3C#N)cc2,2.57,
CN(C)c1ccnc2sc(C(=O)NCc3ccccc3)c(N)c12,3.62,
CN1CCN(CC1)c2ccc3N=CN(C(=O)c3c2)c4cc(NC(=O)c5cscn5)ccc4C,2.06,
Cn1cncc1c2c3C(=O)N(CC4CC4)C(=O)N(CC5CC5)c3nn2Cc6ccnc7ccc(Cl)cc67,4.33,
COc1ccc2ncc(C#N)c(CCN3CCC(CC3)NCc4cc5SCOc5cn4)c2c1,2.55,
CNC(=O)C1(CCN(CC[C@H](CN(C)C(=O)c2c(OC)c(cc3ccccc23)C#N)c4ccc(Cl)c(Cl)c4)CC1)N5CCCCC5=O,2.78,
OB1N(C(=O)Nc2ccccc12)c3ccccc3,1.4,
CC(C)N(CCC(C(=O)N)(c1ccccc1)c2ccccn2)C(C)C,-0.54,
NC(=NC#N)c1sc(Nc2ccccc2)nc1N,2.91,
CCS(=O)(=O)c1ccc(c(C)c1)c2cc(ccc2O[C@H](C)C(=O)O)C(F)(F)F,-0.4,
OC(=O)COc1ccc(cc1c2cc(ccc2F)C#N)C(F)(F)F,-0.16,
COc1ccc(cn1)C2=Cc3c(C)nc(N)nc3N([C@@H]4CC[C@H](CC4)OCCO)C2=O,2.2,
CC(Nc1ncnc2ccccc12)c3ccccc3,3.4,
CC(C)c1ccc2Oc3nc(N)c(cc3C(=O)c2c1)C(=O)O,1.1,
O[C@@H](CNCCCOCCOCCc1cccc2ccccc12)c3ccc(O)c4NC(=O)Sc34,2.28,
COc1ccccc1Cn2c(C)nc3ccccc23,3.47,
OC(=O)c1ccc(NC(=O)c2cc(OCc3ccccc3F)cc(OCc4ccccc4F)c2)nc1,3.0,
NC(Cc1c[nH]c2ccccc12)C(=O)O,-1.17,"This molecule is an amino acid zwitterion obtained by transfer of a proton from the carboxy to the amino group of tryptophan; major species at pH 7.3. It is a tautomer of a tryptophan. This molecule is a white solid. (NTP, 1992) This molecule is an alpha-amino acid that is alanine bearing an indol-3-yl substituent at position 3. It has a role as a Daphnia magna metabolite. It is an alpha-amino acid, an aminoalkylindole, a polar amino acid and an aromatic amino acid. It contains a 1H-indol-3-ylmethyl group. It is a conjugate base of a tryptophanium. It is a conjugate acid of a tryptophanate. It is a tautomer of a tryptophan zwitterion. This molecule is a natural product found in Smallanthus sonchifolius, Drosophila melanogaster, and other organisms with data available."
OC(=O)CCC[C@H]1[C@@H](Cc2ccccc12)NC(=O)c3cc4cc(F)ccc4[nH]3,1.95,
CCNC(=O)c1cc2c(c(cnc2[nH]1)c3cncc(c3)C(=O)O)n4ccc(n4)C(F)(F)F,-0.99,
C[C@H](NC(=O)c1c(C)nn(C2CCCC2)c1NS(=O)(=O)c3ccc(C)cc3)C(C)(C)C,2.0,
N(c1ccccc1)c2cc(Nc3ccccc3)[nH]n2,3.8,
COCCNC(=O)c1cccc(Nc2ncc3cc(ccc3n2)c4ccncc4)c1,3.21,
CCC(CC)NC(=O)c1cnn(C)c1NS(=O)(=O)c2ccc(C)cc2,0.36,
NC(=O)c1cc(F)cc(O[C@H]2C[C@H]3CC[C@@H](C2)N3Cc4ccccc4)c1,2.14,
O=C1NC(=NC(=C1C#N)c2ccccc2)SCCc3ccccc3,1.71,
OC(C(=O)OC1CN2CCC1CC2)(c3ccccc3)c4ccccc4,1.19,
Cc1ccccc1NC(=O)CCS(=O)(=O)c2ccc(Br)s2,2.7,
CC(C)n1c(C)ncc1c2nc(Nc3ccc(cc3)C(=O)N(C)C)ncc2F,2.77,
COc1cccc(c1)c2c[nH]c(n2)c3ccccc3,3.8,
O=C(COc1ccccc1)c2ccccc2,2.87,
COc1cc2ncc(C(=O)N)c(Nc3ccc(F)cc3F)c2cc1NCCN(C)C,1.91,
CO[C@@H]1CC[C@@]2(CC1)Cc3ccc(OCC(C)C)cc3C24N=C(C)C(=N4)N,3.4,
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN4CCCC4,3.13,
O=C1CCOc2cc(COc3ccccc3)ccc12,3.0,
Clc1cccc2cn[nH]c12,2.33,
CNC(=O)c1ccc(CC(=O)N(C)C2CCN(Cc3ccc(cc3)C(F)(F)F)CC2)cc1,2.8,
COCCNCc1ccc(CCNC[C@H](O)c2ccc(O)c3NC(=O)Sc23)cc1,-0.54,
Cn1cncc1c2c3C(=O)N(CC#C)C(=O)N(CC4CC4)c3nn2Cc5ccnc6ccc(Cl)cc56,3.16,
C[C@H](NC(=O)c1cccnc1Oc2ccccc2)c3ccccc3,2.91,
Clc1ccc(CN2CC3CNCC(C2)O3)cc1C(=O)NCC45CC6CC(CC(C6)C4)C5,1.55,
COc1cc(NS(=O)(=O)c2ccc(N)cc2)nc(OC)n1,0.2,"This molecule is a sulfonamide consisting of pyrimidine having methoxy substituents at the 2- and 6-positions and a 4-aminobenzenesulfonamido group at the 4-position. It has a role as an antiinfective agent, an antimicrobial agent, a xenobiotic, an environmental contaminant and a drug allergen. It is a member of pyrimidines, a sulfonamide, a substituted aniline, an aromatic ether and a sulfonamide antibiotic. It is functionally related to a sulfanilamide. This molecule is a sulfonamide antibiotic. This molecule is used to treat many infections, including treatment of respiratory, urinary tract, enteric, and soft tissue infections. It is most frequently used in veterinary medicine, although it is approved in some countries for use in humans. This molecule inhibits bacterial synthesis of folic acid (pteroylglutamic acid) from para-aminobenzoic acid. This molecule is approved in Russia for use in humans, including children, and has been successfully used there for more than 35 years. It is widely available in Russia as an over-the-counter drug manufactured by a number of Russian pharmaceutical companies.  In the US, sulfadimethoxine is one of the products that have been withdrawn or removed from the market after being found to be unsafe or not effective. This molecule is a long-acting sulfonamide antibiotic used in veterinary medicine. This molecule inhibits bacterial synthesis of folic acid by competing with para-aminobenzoic acid (PABA) for the binding site on dihydropteroate synthase. This molecule is a natural product found in Brassica napus with data available."
Cc1cc(CCC2CCN(CC2)S(=O)(=O)CC3(CCOCC3)N(O)C=O)c(C)cn1,1.43,
C[C@H](Nc1ncc(F)c(Nc2cc([nH]n2)C3CC3)n1)c4ncc(F)cn4,2.47,
CC(=O)Nc1ccc2c(c1)c(cn2CCCO)c3cc(NC4CC4)n5ncc(C#N)c5n3,2.48,
CC1COc2c(N3CCN(C)CC3)c(F)cc4C(=O)C(=CN1c24)C(=O)O,-0.45,
CC1(CC1)c2nc(ncc2C(=O)N[C@@H]3C4CC5CC3C[C@@](O)(C5)C4)N6CCOCC6,2.0,
COC(=O)c1ccc(C)c(NS(=O)(=O)c2ccc3N(C)SC(=O)c3c2)c1,2.6,
COc1ccc(cc1)C2=COc3cc(O)cc(O)c3C2=O,3.5,
CNCCCC12CCC(c3ccccc13)c4ccccc24,0.89,
Oc1cc(nc2ccnn12)c3ccccc3,1.3,
Fc1cc(cc(F)c1C2=CCN(CC2)C=O)N3C[C@H](COc4ccon4)OC3=O,2.01,
CC(C#C)N1C(=O)N(CC2CC2)c3nn(Cc4ccnc5ccc(Cl)cc45)c(c3C1=O)c6cncn6C,3.59,
C[C@H]1CN(Cc2cc(Cl)ccc2OCC(=O)O)CCN1C(=O)Cc3ccccc3,0.18,
COc1cc(Nc2nc(N[C@@H](C)c3ncc(F)cn3)ncc2Br)n[nH]1,2.6,
Cc1nc(C)c(nc1C(=O)N)c2ccc([C@@H]3CC[C@@H](CC(=O)O)CC3)c(F)c2,1.3,
COc1ccnc(CCc2nc3c(C)ccnc3[nH]2)c1,2.1,
Cc1cc(CCCOc2c(Cl)cc(cc2Cl)C3=NCCO3)on1,3.72,
CN(C)C(=O)c1ccc(CN2CCc3cc4nc(N)sc4cc3CC2)cc1,1.72,
COC(=O)[C@H]1[C@@H](O)CC[C@H]2CN3CCc4c([nH]c5ccccc45)[C@@H]3C[C@H]12,1.65,
CCN1CCN(CC1)c2ccc(Nc3cc(ncn3)N(C)C(=O)Nc4c(Cl)c(OC)cc(OC)c4Cl)cc2,3.7,
CC(C)N(CCCNC(=O)Nc1ccc(cc1)C(C)(C)C)C[C@H]2O[C@H]([C@H](O)[C@@H]2O)n3cnc4c(N)ncnc34,2.2,
CCN(CC)CCCCNc1ncc2CN(C(=O)N(Cc3cccc(NC(=O)C=C)c3)c2n1)c4c(Cl)c(OC)cc(OC)c4Cl,2.04,
CCSc1c(Cc2ccccc2C(F)(F)F)sc3N(CC(C)C)C(=O)N(C)C(=O)c13,4.49,
COc1ccc(Cc2c(N)n[nH]c2N)cc1,0.2,
CCN(CCN(C)C)S(=O)(=O)c1ccc(cc1)c2cnc(N)c(n2)C(=O)Nc3cccnc3,2.0,
CC1=CN([C@H]2CCCN(C2)S(=O)(=O)c3ccc(O)c(Oc4ccccc4)c3)C(=O)NC1=O,1.49,
C1Oc2ccccc2C3=NN(CC13)c4ccccc4,4.28,
CNC(=C[N+](=O)[O-])NCCSCc1oc(CN(C)C)cc1,-0.95,
CC(C)CC(N1NC(=O)c2nc3cc(Cl)ccc3c(O)c2C1=O)c4ccncc4,1.64,
FC(F)c1nc2ccccc2[nH]1,2.02,
O[C@@H](CNC1CCN(Cc2ccc(Cl)c(Cl)c2)CC1)COc3cccc(c3)C#N,3.09,
COc1cc2ncc(C(=O)N)c(Nc3ccc(F)cc3F)c2cc1N4CCN(C)CC4,2.18,
Oc1ccccc1OC(=O)c2cccc3ccccc23,4.4,
COc1ccccc1CNc2cc(C)ccn2,3.28,
Nc1nc(Nc2cccc(Br)c2)c3nc[nH]c3n1,3.04,
Nc1c2CCN(c3ccccc3)c2nc4ccc(Br)cc14,3.12,
COc1cc(OC)c(cc1NC(=O)CCC(=O)O)S(=O)(=O)N(c2ccc(C)cc2)c3ccc(C)cc3,0.06,
OC(C(=O)c1ccc(F)cc1)c2ccc(F)cc2,2.49,
CC(C)C[C@H](N)c1oc(nn1)S(=O)(=O)Cc2ccc(F)cc2,1.11,
CC(C)COc1cccc(c1)C(=O)Nc2ccc(C)c(c2)C(=O)Nc3cccnc3,2.81,
COc1ccc(OC)c(CNC(=O)c2cccnc2Oc3ccccc3)c1,3.52,
NC1(CCC1)c2ccc(cc2)c3nc4C=CN5C(=O)NN=C5c4cc3c6ccccc6,2.5,
CC(C(Cc1nc2ccccc2[nH]1)c3nc4ccccc4[nH]3)c5ccccc5,4.48,
Clc1ccc2OCC(=O)N(CCN3CCC(CC3)NCc4ccc5OCC(=O)Nc5n4)c2c1,1.33,
OC(=O)Cc1ccc(cc1)N2CCC(CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4)CC2,1.83,
COc1cc2ncc(C(=O)N)c(Nc3cccc(Cl)c3F)c2cc1OC,3.6,
CN(C1CCN(CCC(c2ccccc2)c3ccccc3)CC1)C(=O)C4CCC4,3.2,
NC(=N)NC(=O)c1nc(Cl)c(NCc2ccccn2)nc1N,-0.56,
Nc1c(NC2CC3CCC2C3)nc(nc1N4CCOCC4)C#N,3.53,
CCN(C1CCN(CCC(c2ccccc2)c3ccccc3)CC1)C(=O)NCc4c(F)cccc4F,4.3,
NC1(CCN(CC1)c2ncnc3[nH]ccc23)C(=O)NCc4ccc(Cl)cc4,2.88,
CN1CCN(CC1)C2=Nc3cc(Cl)ccc3Nc4ccccc24,3.08,
Cc1ncc(nc1C(=O)N)c2ccc(cc2)[C@@H]3CC[C@@H](CC(=O)O)CC3,1.0,
Cn1ncnc1COc2nn3c(nnc3cc2C(C)(C)C)c4cc(F)ccc4F,2.4,
CNCC[C@H](Oc1ccc(cc1)C(F)(F)F)c2ccccc2,1.89,
Cc1ccc(cc1)S(=O)(=O)NC(=O)N2CCC(CC2)N3CCC(CC3)Oc4ccc(Cl)cc4Cl,1.52,
O=C1C=COc2cc(OCc3ccccc3)ccc12,3.33,
[O-][S+](c1ccccc1)c2ccc3nnnn3n2,0.79,
[O-][N+](=O)c1ccc2OC(CN(c2c1)c3cccc[n+]3[O-])(C(F)F)C(F)F,3.2,
CC(C)NCC(O)COc1ccc(COCCOC(C)C)cc1,0.1,"This molecule is a cardioselective beta-blocker used in the treatment of hypertension. This molecule has not been linked to instances of clinically apparent drug induced liver injury. This molecule is a secondary alcohol and a secondary amine. It has a role as an antihypertensive agent, a beta-adrenergic antagonist, an anti-arrhythmia drug and a sympatholytic agent. This molecule is a cardioselective β1-adrenergic blocking agent used to treat high blood pressure. It is considered a potent drug with a long-half life that can be used once daily to reduce the need for multiple doses of antihypertensive drugs. This molecule is generally well tolerated, likely due to its β1-adrenergic receptor selectivity and is a useful alternative to non-selective β-blocker drugs in the treatment of hypertension such as [Carvedilol] and [Labetalol]. It may be used alone or in combination with other drugs to manage hypertension and can be useful in patients with chronic obstructive pulmonary disease (COPD) due to its receptor selectivity. This molecule is a beta-Adrenergic Blocker. The mechanism of action of bisoprolol is as an Adrenergic beta-Antagonist. This molecule is a selective beta-1 adrenergic receptor antagonist with antihypertensive activity and devoid of intrinsic sympathomimetic activity. This molecule selectively and competitively binds to and blocks beta-1 adrenergic receptors in the heart, thereby decreasing cardiac contractility and rate. This leads to a reduction in cardiac output and lowers blood pressure. In addition, bisoprolol prevent the release of renin, a hormone secreted by the kidneys that causes constriction of blood vessels."
Cc1ncc(nc1c2ccc(cc2)[C@@H]3CC[C@H](CC3)C(=O)O)C(=O)N,0.22,
Nc1nnc(CCSCCc2nnc(NC(=O)Cc3ccccc3)s2)s1,2.0,
COc1cc(OC2CCN(CC2)C(=O)C)ccc1Nc3ncc(Cl)c(n3)c4cnc5ccccn45,4.0,
COc1ccc(cc1)C2=CC(=O)c3ccccc3N2,2.71,
COC1\C=C\OC2(C)Oc3c(C)c(O)c4C(=O)C(=CC(=O)c4c3C2=O)NC(=O)\C(=C/C=C/C(C)C(O)C(C)C(O)C(C)C(OC(=O)C)C1C)\C,0.7,
CN1C(=O)N(CC2CC2)c3nn(Cc4ccnc5ccc(Cl)cc45)c(c6cc(cn6C)C#N)c3C1=O,3.67,
CN1SC(=NC1=O)NC(=O)c2cccc(Cl)c2,0.87,
Cc1ccc(cc1NC(=O)c2ccc(OCc3ccccn3)cc2)c4nccn4C,2.83,
CC(=O)Nc1ccc(cc1)C(=O)Nc2ccccc2N,0.82,
Oc1ccc2C(=O)C=C(Oc2c1)N3CCOCC3,1.0,
Oc1nc(nc2CCSCc12)c3ccc(cc3)C(F)(F)F,3.07,
Clc1ccc(N2CCN(CC2)C(=O)COCc3cscn3)c(Cl)c1,3.07,
Oc1ccc(cc1)N2C=Nc3cc(O)ccc3C2=O,1.6,
O[C@@H](CNCCc1ccccc1CNCCc2ccccc2F)c3ccc(O)c4NC(=O)Sc34,1.58,
OCC(CO)N1C=Cc2c(NC(=O)CC34CC5CC(CC(C5)C3)C4)cccc2C1=O,2.62,
COc1ccc(c(OC)n1)c2c(F)ccc3c(N)c(nnc23)C(=O)NC4CC4,3.37,
Clc1ccccc1c2cnn[nH]2,2.68,
NC(=O)c1ccc(Oc2cccc3cccnc23)c(c1)[N+](=O)[O-],1.7,
NC(=O)Nc1cc(sc1C(=O)N)c2cccc(O)c2,2.21,
Nc1ccc(cc1)S(=O)(=O)Nc2nccs2,-0.37,
COC(=O)C1=Nc2c(N[C@H](C)CO)nc(SCc3cccc(F)c3F)nc2NC1=O,2.49,
COc1cccc(NC(=O)Cn2cc(Oc3ncnc4cc(OC)c(OC)cc34)cn2)c1,3.11,
CC1CCc2cc(F)cc3C(=O)C(=CN1c23)C(=O)O,0.74,
CC(C)CN1C(=O)N(C)C(=O)c2c1sc(Cn3c(C)nc(Cl)c3Cl)c2C(=O)N4CC[C@@H](O)C4,1.61,
O=C(NC1(CC1)C#N)[C@@H]2CCCC[C@H]2C(=O)N3CCN(CC3)c4ncc(C#N)s4,1.2,
Cc1ccc(NC(=N)N)cc1C,-1.34,
Clc1ccc(cc1C(=O)NCC2CCCCC2)N3N=CC(=O)NC3=O,1.26,
O=C(Oc1ccccc1)N2CCOCC2,1.3,
CC(C)(C#N)c1cnc(s1)N2CCN(CC2)C(=O)[C@@H]3CCCC[C@H]3C(=O)NC4(CC4)C#N,1.9,
FC(F)(F)c1nnc2ccc(nn12)N3CCCCC3,3.0,
Cc1c(Sc2ccc(Cl)cc2)c3c(NS(=O)(=O)C)cccc3n1CC(=O)O,0.21,
CCCNC(=O)CSc1ccc(cn1)S(=O)(=O)N2CCCC2,1.55,
C[C@@H](Oc1cccc2ncnc(Nc3ccc4c(cnn4Cc5ccccn5)c3)c12)C(=O)N6CCOCC6,2.82,
COc1ccc(Cn2cc3N(CC(C)C)C(=O)N(C)C(=O)c3c2)cc1,3.52,
COc1cc2c(Nc3ccc(Cl)cc3F)ncnc2cc1OCCn4cncn4,3.2,
CCN1CCC[C@H]1CNC(=O)c2c(O)c(Cl)cc(Cl)c2OC,1.09,
CC(=O)Nc1nc(C)c(s1)c2cnc(F)c(NS(=O)(=O)c3sc(C)nc3C)c2,0.55,
Cc1ccc2c(c1)c(c(C)n2CC(=O)O)c3ccnc4ccc(cc34)C(F)(F)F,1.78,
CSc1ncccc1C(=O)Nc2nccs2,1.43,
CCOc1ncc(C)c2NC(=C([C@@H](c3ccc(cc3OC)C#N)c12)C(=O)N)C,2.51,
Cc1nc2ccc(Cl)cn2c1c3ccnc(N)n3,2.49,
CC1CC(CC(C)(C)C1)OC(=O)C(O)c2ccccc2,2.31,
C[C@@H](NC(=O)C1CCCCN1C)c2ccc(Nc3ncc4cc(ccc4n3)c5ccncc5)cc2,3.34,
CN(C)C(=O)CN1CCN(CCc2c([nH]c3sc(cc23)C(C)(C)C(=O)N4C5CCC4CC5)c6cc(C)cc(C)c6)CC1,4.13,
CN[C@@H](C)C(=O)N[C@H](C(=O)N[C@H]1CCCN(CCc2ccc(F)cc2)C1)C(C)(C)C,3.12,
NC1(CCC1)c2ccc(cc2)c3ncc4ccncc4c3c5ccccc5,2.2,
CC(C)C(NC(=O)CN1C(=O)C(=CC=C1c2ccccc2)NS(=O)(=O)C)C(=O)C(F)(F)F,1.77,
C[C@@H]1CN([C@@H](C)CN1C(=O)c2ccc(cc2)C#N)C(=O)[C@@](C)(O)C(F)(F)F,1.5,
CCOc1ccccc1c2ccc(cc2)c3nc4ccc(F)cc4c(N[C@H](C)C(=O)O)c3C#N,2.5,
Clc1ccc(CC2CCNCC2)cc1C(=O)NCC34CC5CC(CC(C5)C3)C4,1.49,
CC[C@H](NC(=O)c1c(c(nc2ccccc12)c3ccccc3)S(=O)(=O)C)c4ccccc4,3.17,
Fc1ccc(NC(=O)c2cccnc2Oc3ccccc3)cc1,3.19,
CC(CN1CCCCC1)C(=O)c2ccc(C)cc2,1.65,
CC(C)OC(=O)N1CCC(CC1)Oc2ncnc(Nc3ccc(nc3C)S(=O)(=O)C)c2C,2.8,
Cc1ccccc1c2c(C(=O)O)n(CCCOc3cccc4ccccc34)c5ccccc25,3.89,
C[C@@H](NCc1ccccc1c2ccc(CCNC[C@H](O)c3ccc(O)c4NC(=O)Sc34)cc2)c5ccccc5,2.28,
Nc1nc(Nc2ccc(F)c(Cl)c2)c3nc[nH]c3n1,2.75,
CCCSc1nc(N[C@@H]2C[C@H]2c3ccccc3)c4nnn([C@@H]5C[C@H](O)[C@@H](O)[C@H]5O)c4n1,3.97,
CSc1ccc(cc1)N2C(=NC(=NC2(C)C)N)N,-0.84,
C[C@@H]1N[S@@](=O)(=NC1=O)c2cccc(c2)c3ccc(C)cc3,1.6,
Nc1nc(N)nc(n1)c2cccc(c2)C(F)(F)F,2.4,
Cc1cccc(CN2CCN(CC2)C(c3ccccc3)c4ccc(Cl)cc4)c1,3.39,
Fc1ccc(cc1)S(=O)(=O)NC(=O)N2CCC(CC2)N3CCC(CC3)Oc4ccc(Cl)c(Cl)c4,1.79,
OC(=O)COc1ccc(Cl)cc1CN2CCCN(CC2)S(=O)(=O)Cc3ccccc3,1.01,
Clc1cccc(c1Cl)n2nnnc2NCc3ccccc3Oc4ccccn4,3.62,
CN1CCCN(CC1)C(c2ccccc2)c3ccc(Cl)cc3,2.36,
Clc1ccccc1CCNC(=O)c2cc(ccc2Cl)N3N=CC(=O)NC3=O,1.29,
Clc1ccc2C(=O)C3=C(Nc2c1)C(=O)NN(Cc4ccccn4)C3=O,1.1,
C[C@@H](NC(=O)[C@H]1CCCCN1)c2ccc(Nc3ncc4cc(ccc4n3)c5ccncc5)cc2,2.15,
CC(C)CN1C(=O)N(C)C(=O)c2c1sc(Cc3cccc4ncccc34)c2C(=O)N5CC[C@@H](O)C5,1.98,
C[C@H](NC(=O)[C@@H]1CCCC[C@H]1C(=O)N2CCc3[nH]c4ccc(F)cc4c3C2)C#N,3.5,
CC(C)C(NC(=O)CN1C(=O)C(=CC=C1c2ccccc2)NS(=O)(=O)N)C(=O)C(F)(F)F,1.17,
